param_path.name,param_path.noise,param_our_param.tau_radius,param_our_param.epsilon_PCA,param_our_param.max_min_num,metric_non_na_percent,metric_coef
ellipsoid,0.0,1,0.2,0.05,1.0,0.993114379770528
ellipsoid,0.0,1,0.2,0.1,1.0,0.9923068210019202
ellipsoid,0.0,1,0.2,100.0,1.0,0.9741826478221192
ellipsoid,0.0,1,0.2,150.0,1.0,0.986065392984256
ellipsoid,0.0,1,0.2,200.0,1.0,0.9898422677675036
ellipsoid,0.0,1,0.4,0.05,1.0,0.9925579177666444
ellipsoid,0.0,1,0.4,0.1,1.0,0.9915300513564952
ellipsoid,0.0,1,0.4,100.0,1.0,0.9670023117691896
ellipsoid,0.0,1,0.4,150.0,1.0,0.985643954062814
ellipsoid,0.0,1,0.4,200.0,1.0,0.9901095944724392
ellipsoid,0.0,1,0.6,0.05,1.0,0.9689942659475508
ellipsoid,0.0,1,0.6,0.1,1.0,0.9898258389997744
ellipsoid,0.0,1,0.6,100.0,1.0,0.4546982886087867
ellipsoid,0.0,1,0.6,150.0,1.0,0.7978335616986094
ellipsoid,0.0,1,0.6,200.0,1.0,0.909731223746411
ellipsoid,0.0,2,0.2,0.05,1.0,0.995165557608546
ellipsoid,0.0,2,0.2,0.1,1.0,0.991806320843198
ellipsoid,0.0,2,0.2,100.0,1.0,0.9490602429004809
ellipsoid,0.0,2,0.2,150.0,1.0,0.97521692973471
ellipsoid,0.0,2,0.2,200.0,1.0,0.984512557459164
ellipsoid,0.0,2,0.4,0.05,1.0,0.9946533197705762
ellipsoid,0.0,2,0.4,0.1,1.0,0.990454283016048
ellipsoid,0.0,2,0.4,100.0,1.0,0.9373105956399912
ellipsoid,0.0,2,0.4,150.0,1.0,0.9729669880460334
ellipsoid,0.0,2,0.4,200.0,1.0,0.9843368764272682
ellipsoid,0.0,2,0.6,0.05,1.0,0.9939798284972524
ellipsoid,0.0,2,0.6,0.1,1.0,0.9879817253814428
ellipsoid,0.0,2,0.6,100.0,1.0,0.33510916290843185
ellipsoid,0.0,2,0.6,150.0,1.0,0.691049544732555
ellipsoid,0.0,2,0.6,200.0,1.0,0.8441677168205547
ellipsoid,0.1,1,0.2,0.05,0.999,-0.08479032436627153
ellipsoid,0.1,1,0.2,0.1,0.999,0.01922043402712298
ellipsoid,0.1,1,0.2,100.0,0.999,-0.2487867956104381
ellipsoid,0.1,1,0.2,150.0,0.999,-0.18895355785926723
ellipsoid,0.1,1,0.2,200.0,0.999,-0.14445474115240314
ellipsoid,0.1,1,0.4,0.05,1.0,-0.11326048164990273
ellipsoid,0.1,1,0.4,0.1,1.0,0.039125924681981304
ellipsoid,0.1,1,0.4,100.0,1.0,-0.3628988147457185
ellipsoid,0.1,1,0.4,150.0,1.0,-0.2628114166467632
ellipsoid,0.1,1,0.4,200.0,1.0,-0.18735106717103145
ellipsoid,0.1,1,0.6,0.05,1.0,-0.21843921360833285
ellipsoid,0.1,1,0.6,0.1,1.0,-0.029750111022284653
ellipsoid,0.1,1,0.6,100.0,1.0,-0.41883368577175545
ellipsoid,0.1,1,0.6,150.0,1.0,-0.3408753454511094
ellipsoid,0.1,1,0.6,200.0,1.0,-0.27003574137356295
ellipsoid,0.1,2,0.2,0.05,0.999,-0.12285017841921272
ellipsoid,0.1,2,0.2,0.1,0.999,0.04172093134485593
ellipsoid,0.1,2,0.2,100.0,0.999,-0.24884359288733887
ellipsoid,0.1,2,0.2,150.0,0.999,-0.18888734956959996
ellipsoid,0.1,2,0.2,200.0,0.999,-0.14368989755142356
ellipsoid,0.1,2,0.4,0.05,1.0,0.011596101943518546
ellipsoid,0.1,2,0.4,0.1,1.0,0.17741147298357204
ellipsoid,0.1,2,0.4,100.0,1.0,-0.3591411374275328
ellipsoid,0.1,2,0.4,150.0,1.0,-0.2566541970394722
ellipsoid,0.1,2,0.4,200.0,1.0,-0.18031850932988225
ellipsoid,0.1,2,0.6,0.05,1.0,-0.00952966073297133
ellipsoid,0.1,2,0.6,0.1,1.0,0.21251432956013064
ellipsoid,0.1,2,0.6,100.0,1.0,-0.4103612459523474
ellipsoid,0.1,2,0.6,150.0,1.0,-0.32519339391103996
ellipsoid,0.1,2,0.6,200.0,1.0,-0.25023752293211754
ellipsoid,0.2,1,0.2,0.05,0.9886,-0.08112538944518238
ellipsoid,0.2,1,0.2,0.1,0.9886,0.00973906348604888
ellipsoid,0.2,1,0.2,100.0,,
ellipsoid,0.2,1,0.2,150.0,0.9886,-0.140155752059548
ellipsoid,0.2,1,0.2,200.0,0.9886,-0.11167863238677568
ellipsoid,0.2,1,0.4,0.05,1.0,-0.28403364352741706
ellipsoid,0.2,1,0.4,0.1,1.0,-0.1250578407626326
ellipsoid,0.2,1,0.4,100.0,1.0,-0.35217315300070134
ellipsoid,0.2,1,0.4,150.0,1.0,-0.33003705747680867
ellipsoid,0.2,1,0.4,200.0,1.0,-0.29195780524345233
ellipsoid,0.2,1,0.6,0.05,1.0,-0.3899315427469209
ellipsoid,0.2,1,0.6,0.1,1.0,-0.20770188936667783
ellipsoid,0.2,1,0.6,100.0,1.0,-0.41278506954468847
ellipsoid,0.2,1,0.6,150.0,1.0,-0.4050621408585164
ellipsoid,0.2,1,0.6,200.0,1.0,-0.3739400212533147
ellipsoid,0.2,2,0.2,0.05,0.9886,-0.1839595099252191
ellipsoid,0.2,2,0.2,0.1,0.9886,-0.03287950801491287
ellipsoid,0.2,2,0.2,100.0,0.9886,-0.17449169780925222
ellipsoid,0.2,2,0.2,150.0,0.9886,-0.1435277438852136
ellipsoid,0.2,2,0.2,200.0,0.9886,-0.11488899342508532
ellipsoid,0.2,2,0.4,0.05,1.0,-0.25366480857526913
ellipsoid,0.2,2,0.4,0.1,1.0,-0.04387816258123285
ellipsoid,0.2,2,0.4,100.0,1.0,-0.35262046986894063
ellipsoid,0.2,2,0.4,150.0,1.0,-0.3295071305985501
ellipsoid,0.2,2,0.4,200.0,1.0,-0.28677703019253703
ellipsoid,0.2,2,0.6,0.1,1.0,-0.08307744109390908
ellipsoid,0.2,2,0.6,100.0,1.0,-0.4111667285823608
ellipsoid,0.2,2,0.6,150.0,1.0,-0.3988001898667356
ellipsoid,0.2,2,0.6,200.0,1.0,-0.359649162409223
ellipsoid,0.3,1,0.2,0.05,0.9762,-0.05405748302627853
ellipsoid,0.3,1,0.2,0.1,0.9762,0.01696409346783854
ellipsoid,0.3,1,0.2,100.0,0.9762,-0.08075884342552717
ellipsoid,0.3,1,0.2,150.0,0.9762,-0.055708305910009775
ellipsoid,0.3,1,0.2,200.0,0.9762,-0.03582541812636512
ellipsoid,0.3,1,0.4,0.1,0.9982,-0.04105706783509451
ellipsoid,0.3,1,0.4,100.0,0.9982,-0.11978109905463928
ellipsoid,0.3,1,0.4,150.0,0.9982,-0.10038010846043544
ellipsoid,0.3,1,0.4,200.0,0.9982,-0.08164793533881769
ellipsoid,0.3,1,0.6,0.05,1.0,-0.26808502490898084
